actual,predicted,absolute_error
804.96,806.56396484375,1.6039648437499636
949.04,999.427001953125,50.387001953125036
1718.79,1224.7774658203125,494.01253417968746
203.52,196.3488311767578,7.171168823242198
1858.36,1276.5574951171875,581.8025048828124
1987.39,1292.5103759765625,694.8796240234376
384.77,418.82373046875,34.05373046875002
572.73,535.0850830078125,37.64491699218752
802.95,906.3522338867188,103.4022338867187
1961.96,1256.777587890625,705.182412109375
1945.95,1300.6639404296875,645.2860595703125
1875.72,1298.2274169921875,577.4925830078125
862.61,998.433837890625,135.823837890625
1721.56,1331.2862548828125,390.27374511718745
516.69,504.12432861328125,12.565671386718805
1995.87,1405.7978515625,590.0721484374999
880.41,800.7706298828125,79.63937011718747
1557.2,1262.426513671875,294.77348632812505
1077.35,950.9390258789062,126.41097412109366
366.87,355.2447509765625,11.625249023437505
1387.43,1370.3907470703125,17.039252929687564
1559.59,1251.14794921875,308.4420507812499
1237.07,1155.293701171875,81.77629882812494
1292.77,1321.568115234375,28.798115234375018
1794.57,1293.850341796875,500.71965820312494
1133.45,1130.263427734375,3.1865722656250455
1367.64,984.2879638671875,383.3520361328126
1237.71,1133.33642578125,104.37357421875004
1421.45,1044.601806640625,376.84819335937505
780.15,895.0811157226562,114.93111572265627
1600.42,1204.154052734375,396.2659472656251
1658.97,1175.4322509765625,483.5377490234375
1386.33,966.5655517578125,419.7644482421874
1996.18,1352.1199951171875,644.0600048828126
1374.91,1025.6358642578125,349.2741357421876
835.08,847.2671508789062,12.187150878906209
2098.07,1324.0816650390625,773.9883349609377
1729.08,1203.7293701171875,525.3506298828124
255.57,252.27294921875,3.297050781249993
1454.05,1052.934326171875,401.11567382812495
1157.87,1377.294677734375,219.4246777343751
1880.76,1322.68603515625,558.07396484375
1587.21,1250.625244140625,336.58475585937504
631.5,716.7794189453125,85.2794189453125
1918.89,1353.148681640625,565.7413183593751
1610.25,1387.8447265625,222.4052734375
1237.62,911.7484741210938,325.87152587890614
1361.3,1066.349365234375,294.95063476562495
1577.01,1160.970703125,416.039296875
1090.35,1189.06591796875,98.71591796875009
703.45,860.138916015625,156.68891601562495
1202.69,852.7142333984375,349.97576660156255
2032.23,1265.270263671875,766.959736328125
1434.84,1113.4002685546875,321.4397314453124
