actual,predicted,absolute_error
804.96,756.68225,48.277749023437536
949.04,920.4685,28.571494140624964
1718.79,1796.5176,77.72757812500004
203.52,191.5303,11.989696044921885
1858.36,1876.7322,18.3721777343751
1987.39,1995.4058,8.0157617187499
384.77,429.29327,44.52327392578127
572.73,633.93555,61.20554687499998
802.95,845.2096,42.259594726562455
1961.96,1840.6345,121.32547851562504
1945.95,1882.3497,63.600268554687545
1875.72,1951.8804,76.16037109374997
862.61,936.00745,73.39744628906249
1721.56,1754.4475,32.887509765625055
516.69,542.3268,25.636782226562445
1995.87,2099.8706,104.00060546875011
880.41,770.8318,109.57821289062497
1557.2,1559.6597,2.4596679687499545
1077.35,1156.7963,79.44626464843759
366.87,373.63947,6.7694653320312455
1387.43,1342.4661,44.963935546875064
1559.59,1616.4033,56.81332031250008
1237.07,1305.9221,68.85211914062506
1292.77,1287.013,5.757060546874982
1794.57,1859.2454,64.67536132812506
1133.45,1061.0266,72.42338867187505
1367.64,1357.5798,10.0601660156251
1237.71,1230.5919,7.118081054687536
1421.45,1449.8,28.350048828124955
780.15,845.0198,64.86977539062502
1600.42,1717.0918,116.67179687499993
1658.97,1740.8839,81.91391113281247
1386.33,1391.2145,4.884477539062573
1996.18,1994.4438,1.7361523437500637
1374.91,1424.891,49.98099121093742
835.08,831.99475,3.085249023437541
2098.07,1947.529,150.54094726562516
1729.08,1731.8368,2.7567919921875728
255.57,285.4176,29.847602539062507
1454.05,1513.2693,59.219287109375045
1157.87,1321.6167,163.7466992187501
1880.76,1954.5913,73.83130859375001
1587.21,1599.2251,12.015097656249964
631.5,658.11096,26.6109619140625
1918.89,1900.7695,18.1204687500001
1610.25,1510.1821,100.06787109375
1237.62,1152.4563,85.16370117187489
1361.3,1455.9176,94.61760253906255
1577.01,1613.2805,36.27051757812501
1090.35,1241.4083,151.0583251953126
703.45,821.78314,118.3331420898437
1202.69,1179.4438,23.246152343750055
2032.23,1897.5151,134.71486328125002
1434.84,1494.3073,59.46725097656258
950.24,845.9685,104.27149414062501
303.2,328.78705,25.58704833984376
1737.86,1830.7755,92.9155126953126
448.34,555.9585,107.61849609375003
1730.86,1728.5747,2.2852929687499
726.14,665.6785,60.461472167968736
1376.59,1357.6531,18.936923828124918
978.13,1015.2696,37.139592285156255
1339.93,1393.3777,53.447685546874936
1435.34,1476.0895,40.74947753906258
1653.69,1669.8389,16.148867187499945
1145.33,1107.0938,38.23624999999993
540.97,523.2702,17.699797363281277
1364.54,1425.9857,61.445717773437536
830.07,858.1395,28.06952636718745
1871.76,1823.7656,47.99437499999999
2014.72,2080.3088,65.58883789062497
1155.05,1195.2478,40.197802734375045
1110.55,1101.956,8.593945312499955
1432.75,1516.9885,84.238525390625
1553.21,1646.6503,93.44026855468746
1483.33,1526.0554,42.72541992187507
844.9,773.8642,71.03580322265623
682.22,675.81604,6.403959960937527
