trip_duration_days,miles_traveled,total_receipts_amount,actual_reimbursement,tabpfn_prediction,error,abs_error
3,1027.0,180.0,804.96,756.17487,48.785134277343786,48.785134277343786
9,483.0,52.64,949.04,899.3523,49.687705078124964,49.687705078124964
6,836.0,2035.17,1718.79,1782.6465,-63.856484375000036,63.856484375000036
2,13.0,4.67,203.52,200.90143,2.6185717773437602,2.6185717773437602
7,1086.0,2319.81,1858.36,1832.408,25.9520410156249,25.9520410156249
8,1005.0,1391.37,1987.39,1981.7563,5.6336523437501,5.6336523437501
3,182.0,347.82,384.77,403.6381,-18.868092041015643,18.868092041015643
3,275.0,543.74,572.73,575.8769,-3.146892089843732,3.146892089843732
8,413.0,222.83,802.95,844.4083,-41.458325195312455,41.458325195312455
7,756.0,1473.59,1961.96,1770.6938,191.26615234375004,191.26615234375004
9,1165.0,1868.79,1945.95,1924.1255,21.824511718750045,21.824511718750045
12,1046.0,1850.85,1875.72,1951.0425,-75.32248046874997,75.32248046874997
11,273.0,502.37,862.61,929.3711,-66.76109374999999,66.76109374999999
13,125.0,2004.61,1721.56,1747.5658,-26.005795898437555,26.005795898437555
1,780.0,366.37,516.69,530.1138,-13.423769531249945,13.423769531249945
14,976.0,1526.58,1995.87,2097.6843,-101.81432617187511,101.81432617187511
8,266.87,252.08,880.41,766.7205,113.68947998046872,113.68947998046872
9,131.0,1990.0,1557.2,1545.2799,11.920092773437545,11.920092773437545
6,290.0,814.04,1077.35,1120.6697,-43.31967773437509,43.31967773437509
3,80.0,21.05,366.87,356.58466,10.285344238281255,10.285344238281255
12,1077.0,32.55,1387.43,1316.4054,71.02460449218756,71.02460449218756
10,459.0,2183.11,1559.59,1622.2505,-62.66048828125008,62.66048828125008
10,57.0,936.89,1237.07,1277.7241,-40.654121093750064,40.654121093750064
14,767.0,186.47,1292.77,1289.262,3.508037109374982,3.508037109374982
8,1053.0,1864.01,1794.57,1861.5574,-66.98737304687506,66.98737304687506
6,1044.0,47.46,1133.45,1039.8296,93.62041015625005,93.62041015625005
2,423.0,1639.17,1367.64,1331.3973,36.2426611328126,36.2426611328126
6,697.0,651.64,1237.71,1187.3431,50.366860351562536,50.366860351562536
1,1068.0,2011.28,1421.45,1398.418,23.032031250000045,23.032031250000045
4,1048.0,279.75,780.15,841.96533,-61.81533203125002,61.81533203125002
7,671.0,1262.85,1600.42,1657.9524,-57.53239257812493,57.53239257812493
5,1120.0,1514.91,1658.97,1713.3015,-54.33151367187497,54.33151367187497
3,240.0,1895.67,1386.33,1380.3224,6.007612304687427,6.007612304687427
12,1003.0,983.23,1996.18,1987.9192,8.260810546875064,8.260810546875064
1,822.0,2170.53,1374.91,1407.1968,-32.28677734374992,32.28677734374992
8,297.64,481.09,835.08,826.6244,8.455610351562541,8.455610351562541
11,916.0,1036.91,2098.07,1895.767,202.30303222656266,202.30303222656266
5,755.0,1584.41,1729.08,1712.0577,17.022260742187427,17.022260742187427
1,359.62,221.15,255.57,244.13556,11.434440917968743,11.434440917968743
5,132.0,2387.03,1454.05,1485.6422,-31.592211914062545,31.592211914062545
10,1192.0,23.47,1157.87,1299.8843,-142.0142773437501,142.0142773437501
9,1012.0,1429.04,1880.76,1961.6316,-80.87159179687501,80.87159179687501
