feature,importance
total_activity_score,0.51864165
log_miles,0.16439159
sqrt_days,0.051508322
log_receipts,0.03805808
days_squared,0.031800583
total_receipts_amount,0.028086133
is_short_trip,0.022263184
spending_per_day,0.020011071
receipts_squared,0.01572982
trip_length_x_efficiency,0.013648474
trip_duration_days,0.010392391
efficiency_score,0.0067369896
spending_x_mileage,0.006199897
is_low_efficiency,0.005682021
optimal_spending_medium,0.004827269
combined_hash,0.0047185924
miles_traveled,0.0045739487
miles_to_spending_ratio,0.004425523
very_high_mileage,0.0038580343
activity_density,0.0038566235
cost_per_mile,0.0038206326
efficiency_x_spending,0.0033618172
miles_per_day,0.0031785027
days_cos,0.0028408798
miles_sin,0.0025787943
trip_hash,0.002563461
receipts_ends_in_9,0.0025012905
miles_mod_7,0.0022869392
receipts_mod_10,0.0022022137
receipts_sin,0.0018177417
is_5_day_trip,0.0018119529
days_mod_5,0.001738277
is_optimal_efficiency,0.0013690653
expense_hash,0.0013564314
large_receipts,0.0012677694
miles_squared,0.0012124252
is_medium_trip,0.0007186157
low_spending_short,0.00067865435
medium_mileage,0.00060087215
miles_is_even,0.000596052
medium_receipts,0.0005862263
days_is_odd,0.00042364458
small_receipts,0.00026808388
is_high_efficiency,0.0002654291
miles_percentile_bin,0.00017710547
high_mileage,0.00015465936
is_long_trip,0.00013490717
is_sweet_spot_trip,4.4319426e-05
low_mileage,3.0355845e-05
low_spending_long,2.6493865e-06
receipts_percentile_bin,6.746067e-08
tiny_receipts,0.0
crosses_600_miles,0.0
crosses_1000_receipts,0.0
crosses_10_days,0.0
